"ID","time","lon","lat","ID_old","centre_lon","centre_lat","d2c"
"4182444-1",2011-12-14 03:13:29,3.048437314,-69.95912459,4182444,3.048437314,-69.95912459,0
"4182444-1",2011-12-14 03:43:29,2.873000772,-69.7686545,4182444,3.048437314,-69.95912459,0.0222930406509245
"4182444-1",2011-12-14 04:13:29,2.610136903,-69.56551561,4182444,3.048437314,-69.95912459,0.0470600344253243
"4182444-1",2011-12-14 04:43:29,2.190194199,-69.35639446,4182444,3.048437314,-69.95912459,0.0750358664617597
"4182444-1",2011-12-14 05:13:29,1.714936937,-69.15841532,4182444,3.048437314,-69.95912459,0.103350379410814
"4182444-1",2011-12-14 05:43:29,1.330152411,-69.00054394,4182444,3.048437314,-69.95912459,0.126311336105042
"4182444-1",2011-12-14 06:13:29,1.082293722,-68.94655083,4182444,3.048437314,-69.95912459,0.136716000062849
"4182444-1",2011-12-14 06:43:29,0.612263384,-68.8455255,4182444,3.048437314,-69.95912459,0.156782185577847
"4182444-1",2011-12-14 07:13:29,0.170144856,-68.74955703,4182444,3.048437314,-69.95912459,0.176157412062731
"4182444-1",2011-12-14 07:43:29,-0.196309213,-68.65563597,4182444,3.048437314,-69.95912459,0.193674788788606
"4182444-1",2011-12-14 08:13:29,-0.405308601,-68.5677038,4182444,3.048437314,-69.95912459,0.206657201821292
"4182444-1",2011-12-14 08:43:29,-0.525358918,-68.5330702,4182444,3.048437314,-69.95912459,0.2127635945082
"4182444-1",2011-12-14 09:13:29,-0.594501785,-68.52306809,4182444,3.048437314,-69.95912459,0.215437792732839
"4182444-1",2011-12-14 09:43:29,-0.675735471,-68.45917733,4182444,3.048437314,-69.95912459,0.223034929673017
"4182444-1",2011-12-14 10:13:29,-0.974790771,-68.29783868,4182444,3.048437314,-69.95912459,0.244752503081595
"4182444-1",2011-12-14 10:43:29,-1.08805335,-68.26051256,4182444,3.048437314,-69.95912459,0.250933194892158
"4182444-1",2011-12-14 11:13:29,-1.196731019,-68.26906289,4182444,3.048437314,-69.95912459,0.253054338058129
"4182444-1",2011-12-14 11:43:29,-1.304501288,-68.28906769,4182444,3.048437314,-69.95912459,0.254240644523593
"4182444-1",2011-12-14 12:13:29,-1.369238576,-68.26495601,4182444,3.048437314,-69.95912459,0.258024818882547
"4182444-1",2011-12-14 12:43:29,-1.432364015,-68.23932725,4182444,3.048437314,-69.95912459,0.261895132229216
"4182444-1",2011-12-14 13:13:29,-1.461126999,-68.22120115,4182444,3.048437314,-69.95912459,0.26420381969906
"4182444-1",2011-12-14 13:43:29,-1.485326041,-68.20406502,4182444,3.048437314,-69.95912459,0.266306992676389
"4182444-1",2011-12-14 14:13:29,-1.505779673,-68.20039879,4182444,3.048437314,-69.95912459,0.26716954488094
"4182444-1",2011-12-14 14:43:29,-1.520182824,-68.19459676,4182444,3.048437314,-69.95912459,0.268049598129392
"4182444-1",2011-12-14 15:13:29,-1.545190855,-68.19249757,4182444,3.048437314,-69.95912459,0.268903632037828
"4182444-1",2011-12-14 15:43:29,-1.553153828,-68.19137187,4182444,3.048437314,-69.95912459,0.269214448297529
"4182444-1",2011-12-14 16:13:29,-1.56113371,-68.18921249,4182444,3.048437314,-69.95912459,0.269613062327585
"4182444-1",2011-12-14 16:43:29,-1.679149291,-68.14997419,4182444,3.048437314,-69.95912459,0.276128212397769
"4182444-1",2011-12-14 17:13:29,-1.938361303,-68.115088,4182444,3.048437314,-69.95912459,0.286168297669454
"4182444-1",2011-12-14 17:43:29,-2.204716093,-68.11309967,4182444,3.048437314,-69.95912459,0.293812312634556
"4182444-1",2011-12-14 18:13:29,-2.368392094,-68.13041839,4182444,3.048437314,-69.95912459,0.297113454003823
"4182444-1",2011-12-14 18:43:29,-2.441298115,-68.12855843,4182444,3.048437314,-69.95912459,0.29938053042033
"4182444-1",2011-12-14 19:13:29,-2.488794368,-68.12035784,4182444,3.048437314,-69.95912459,0.30141822980947
"4182444-1",2011-12-14 19:43:29,-2.512760005,-68.11729912,4182444,3.048437314,-69.95912459,0.30236148552312
"4182444-1",2011-12-14 20:13:29,-2.60069156,-68.11210907,4182444,3.048437314,-69.95912459,0.305351547255335
"4182444-1",2011-12-14 20:43:29,-2.767112486,-68.10005921,4182444,3.048437314,-69.95912459,0.311219802955161
"4182444-1",2011-12-14 21:13:29,-3.007298361,-68.0801229,4182444,3.048437314,-69.95912459,0.319956460227635
"4182444-1",2011-12-14 21:43:29,-3.159309913,-68.04558534,4182444,3.048437314,-69.95912459,0.327203810918282
